WILAYA_CLEAN,COMMUNE_CLEAN,ZONE_RPA,capital_total,nb_polices,dommage_total,risque_moyen,proba_moyenne,CLASSE_COMMUNE
MASCARA,OUED EL ABTAL,Inconnu,620000.0,1,31000.0,0.0,0.0,SOUCONCENTRATION ✅
MASCARA,OUED TAGHIA,Inconnu,1550000.0,1,77500.0,0.0,0.0,SOUCONCENTRATION ✅
MASCARA,SIDI KADA,Inconnu,6125000.0,2,306250.0,0.0,0.0,SOUCONCENTRATION ✅
MASCARA,SIG,Inconnu,27988300.0,5,1399415.0,0.0,0.0,SOUCONCENTRATION ✅
MASCARA,TIGHENNIF,Inconnu,100000000.0,2,5000000.0,0.0,0.0,SOUCONCENTRATION ✅
MASCARA,TIZI,Inconnu,40813850.0,18,2040692.0,0.0,0.0,SOUCONCENTRATION ✅
MASCARA,ZAHANA,Inconnu,3481000.0,2,174050.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,AIN BOUCHEKIF,Inconnu,1596000.0,1,79800.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,AIN BOUCIF,Inconnu,3100000.0,1,155000.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,BENI SLIMANE,Inconnu,4000000.0,1,200000.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,BERROUAGHIA,Inconnu,1028229410.0,291,51411470.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,BIR KHADEM,Inconnu,2774000.0,1,138700.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,BOUCHRAHIL,Inconnu,9090000.0,2,454500.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,BOUGHZOUL,Inconnu,3000000.0,1,150000.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,CHELLALAT EL ADHAOURA,Inconnu,23573490.0,8,1178674.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,CHENIGUEL,Inconnu,8500000.0,1,425000.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,DRAA ESSMAR,Inconnu,75405130.0,15,3770256.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,EL AOUINET MEDEA,Inconnu,1000000.0,1,50000.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,EL GUELBELKEBIR,Inconnu,4500000.0,3,225000.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,EL OMARIA,Inconnu,25532750.0,8,1276638.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,KHAMS DJOUAMAA,Inconnu,4156250.0,1,207812.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,KSAR EL BOUKHARI,Inconnu,12881480.0,4,644074.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,MEDEA,Inconnu,2147329718.0,316,107366486.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,MOUDJEBEUR,Inconnu,7500000.0,2,375000.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,OUAMRI,Inconnu,29542000.0,6,1477100.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,OULED BRAHIM MEDEA,Inconnu,7576400.0,2,378820.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,OULED DEIDE,Inconnu,17671200.0,6,883560.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,OULED MAAREF,Inconnu,3003400.0,2,150170.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,OUZERA,Inconnu,35829440.0,12,1791472.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,REBAIA,Inconnu,13800000.0,3,690000.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,SEDRAIA,Inconnu,7000000.0,2,350000.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,SEGHOUANE,Inconnu,11502600.0,3,575130.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,SI MAHDJOUB,Inconnu,1000000.0,1,50000.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,SIDI NAAMANE MEDEA,Inconnu,34763030.0,13,1738152.0,0.0,0.0,SOUCONCENTRATION ✅
MEDEA,SIDI ZAHAR,Inconnu,3000000.0,1,150000.0,0.0,0.0,SOUCONCENTRATION ✅
